BOTty Fisher
Anatoly KarBOT
D2 D3
F7 F6
C1 E3
C7 C5
B2 B4
B8 A6
B4 C5
E7 E6
G1 H3
A6 C7
H3 G5
H7 H6
D3 D4
H6 H5
D4 D5
F8 C5
D1 D3
F6 F5
D3 D2
D8 G5
E3 C5
G5 D2
E1 D2
H5 H4
C5 E7
G8 F6
E2 E3
H4 H3
F1 D3
F5 F4
D2 D1
G7 G5
H1 F1
F4 F3
F1 E1
A8 B8
D1 C1
F3 G2
E1 D1
C7 D5
D3 F5
D5 E7
A2 A3
B8 A8
D1 H1
E7 C6
H1 F1
E8 E7
F1 G1
F6 E8
F5 H7
D7 D6
A3 A4
C6 B4
H7 F5
B4 A6
F5 H7
E8 G7
H7 F5
H8 H7
F5 H7
C8 D7
H7 F5
A8 F8
F5 H7
D7 C8
H7 F5
F8 F5
C1 D1
E7 F7
D1 C1
G5 G4
C1 D1
F7 F8
D1 C1
A6 C7
C1 D1
F5 E5
D1 C1
C7 A8
C1 D1
F8 F7
D1 C1
D6 D5
C1 D1
F7 E7
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
C1 D1
H5 E5
D1 C1
E5 H5
