Anatoly KarBOT
Michail BOTvinnik
H2 H3
G8 H6
B2 B3
H6 F5
G2 G4
D7 D6
C1 A3
F5 H6
A3 C5
E7 E5
C5 A3
D8 H4
D1 C1
E8 D7
A3 C5
A7 A6
C1 B2
H6 F5
D2 D3
F5 E7
C2 C3
A6 A5
B2 A3
C7 C6
A3 B4
A5 A4
B3 A4
B7 B6
F1 G2
D6 C5
A2 A3
E5 E4
D3 D4
D7 E6
B4 B2
G7 G6
B2 B5
G6 G5
B5 A6
E6 D5
G1 F3
F8 G7
A6 A7
C8 B7
F3 E5
H8 F8
H1 F1
F8 G8
E5 F3
D5 D6
F3 E5
H7 H6
E5 F3
G8 H8
F3 E5
H8 G8
E5 F3
G8 H8
F3 E5
H8 G8
E5 F3
G8 H8
F3 E5
H8 G8
E5 F3
G8 H8
F3 E5
H8 G8
E5 F3
G8 H8
F3 E5
H8 G8
E5 F3
G8 H8
F3 E5
H8 G8
E5 F3
G8 H8
F3 E5
H8 G8
E5 F3
G8 H8
F3 E5
H8 G8
E5 F3
G8 H8
F3 E5
H8 G8
E5 F3
G8 H8
F3 E5
H8 G8
E5 F3
G8 H8
F3 E5
H8 G8
E5 F3
G8 H8
F3 E5
H8 G8
E5 F3
G8 H8
F3 E5
H8 G8
E5 F3
G8 H8
F3 E5
H8 G8
E5 F3
G8 H8
F3 E5
H8 G8
E5 F3
G8 H8
F3 E5
H8 G8
E5 F3
G8 H8
F3 E5
H8 G8
E5 F3
G8 H8
F3 E5
H8 G8
E5 F3
G8 H8
F3 E5
H8 G8
E5 F3
G8 H8
F3 E5
H8 G8
E5 F3
G8 H8
F3 E5
H8 G8
E5 F3
G8 H8
F3 E5
H8 G8
E5 F3
G8 H8
F3 E5
H8 G8
E5 F3
G8 H8
F3 E5
H8 G8
E5 F3
G8 H8
F3 E5
H8 G8
E5 F3
G8 H8
F3 E5
H8 G8
E5 F3
G8 H8
F3 E5
H8 G8
E5 F3
G8 H8
F3 E5
H8 G8
E5 F3
G8 H8
F3 E5
H8 G8
E5 F3
G8 H8
F3 E5
H8 G8
E5 F3
G8 H8
F3 E5
H8 G8
E5 F3
G8 H8
F3 E5
H8 G8
E5 F3
G8 H8
F3 E5
H8 G8
E5 F3
G8 H8
F3 E5
H8 G8
E5 F3
G8 H8
F3 E5
H8 G8
E5 F3
G8 H8
F3 E5
H8 G8
E5 F3
G8 H8
F3 E5
H8 G8
