BOTty Fisher
Garry KasparBOT
D2 D3
F7 F6
A2 A3
B7 B6
B1 D2
G7 G6
F2 F3
H7 H5
C2 C4
D7 D5
E2 E4
D5 C4
D1 C2
F8 H6
H2 H3
H6 G5
E1 E2
G5 F4
C2 C3
F4 G5
G2 G4
G5 F4
G4 H5
C7 C6
H5 G6
C6 C5
C3 F6
C8 A6
F6 E6
H8 H6
E6 F6
H6 G6
F6 E6
C4 D3
E2 D1
G6 G3
H1 H2
G3 G7
E6 C8
B8 C6
C8 D8
A8 D8
H2 G2
C6 A5
G2 G7
G8 F6
D2 C4
F6 G8
C4 D2
G8 F6
D2 C4
F6 G8
C4 D2
G8 F6
D2 C4
F6 G8
C4 D2
G8 F6
D2 C4
F6 G8
C4 D2
G8 F6
D2 C4
F6 G8
C4 D2
G8 F6
D2 C4
F6 G8
C4 D2
G8 F6
D2 C4
F6 G8
C4 D2
G8 F6
D2 C4
F6 G8
C4 D2
G8 F6
D2 C4
F6 G8
C4 D2
G8 F6
D2 C4
F6 G8
C4 D2
G8 F6
D2 C4
F6 G8
C4 D2
G8 F6
D2 C4
F6 G8
C4 D2
G8 F6
D2 C4
F6 G8
C4 D2
G8 F6
D2 C4
F6 G8
C4 D2
G8 F6
D2 C4
F6 G8
C4 D2
G8 F6
D2 C4
F6 G8
C4 D2
G8 F6
D2 C4
F6 G8
C4 D2
G8 F6
D2 C4
F6 G8
C4 D2
G8 F6
D2 C4
F6 G8
C4 D2
G8 F6
D2 C4
F6 G8
C4 D2
G8 F6
D2 C4
F6 G8
C4 D2
G8 F6
D2 C4
F6 G8
C4 D2
G8 F6
D2 C4
F6 G8
C4 D2
G8 F6
D2 C4
F6 G8
C4 D2
G8 F6
D2 C4
F6 G8
C4 D2
G8 F6
D2 C4
F6 G8
C4 D2
G8 F6
D2 C4
F6 G8
C4 D2
G8 F6
D2 C4
F6 G8
C4 D2
G8 F6
D2 C4
F6 G8
C4 D2
G8 F6
D2 C4
F6 G8
C4 D2
G8 F6
D2 C4
F6 G8
C4 D2
G8 F6
D2 C4
F6 G8
C4 D2
G8 F6
D2 C4
F6 G8
C4 D2
G8 F6
D2 C4
F6 G8
C4 D2
G8 F6
D2 C4
F6 G8
C4 D2
G8 F6
D2 C4
F6 G8
C4 D2
G8 F6
D2 C4
F6 G8
C4 D2
G8 F6
D2 C4
F6 G8
C4 D2
G8 F6
D2 C4
F6 G8
