BOTty Fisher
Magnus BOTsen
A2 A4
C7 C5
H2 H3
B7 B5
G2 G4
A7 A5
G1 F3
D8 B6
A1 A3
B6 D8
C2 C3
D8 B6
A3 A2
B6 D8
A2 A1
D8 B6
A1 A3
B6 D8
A3 A2
D8 B6
A2 A1
B6 D8
A1 A3
D8 B6
A3 A2
B6 D8
A2 A1
D8 B6
A1 A3
B6 D8
A3 A2
D8 B6
A2 A1
B6 D8
A1 A3
D8 B6
A3 A2
B6 D8
A2 A1
D8 B6
A1 A3
B6 D8
A3 A2
D8 B6
A2 A1
B6 D8
A1 A3
D8 B6
A3 A2
B6 D8
A2 A1
D8 B6
A1 A3
B6 D8
A3 A2
D8 B6
A2 A1
B6 D8
A1 A3
D8 B6
A3 A2
B6 D8
A2 A1
D8 B6
A1 A3
B6 D8
A3 A2
D8 B6
A2 A1
B6 D8
A1 A3
D8 B6
A3 A2
B6 D8
A2 A1
D8 B6
A1 A3
B6 D8
A3 A2
D8 B6
A2 A1
B6 D8
A1 A3
D8 B6
A3 A2
B6 D8
A2 A1
D8 B6
A1 A3
B6 D8
A3 A2
D8 B6
A2 A1
B6 D8
A1 A3
D8 B6
A3 A2
B6 D8
A2 A1
D8 B6
A1 A3
B6 D8
A3 A2
D8 B6
A2 A1
B6 D8
A1 A3
D8 B6
A3 A2
B6 D8
A2 A1
D8 B6
A1 A3
B6 D8
A3 A2
D8 B6
A2 A1
B6 D8
A1 A3
D8 B6
A3 A2
B6 D8
A2 A1
D8 B6
A1 A3
B6 D8
A3 A2
D8 B6
A2 A1
B6 D8
A1 A3
D8 B6
A3 A2
B6 D8
A2 A1
D8 B6
A1 A3
B6 D8
A3 A2
D8 B6
A2 A1
B6 D8
A1 A3
D8 B6
A3 A2
B6 D8
A2 A1
D8 B6
A1 A3
B6 D8
A3 A2
D8 B6
A2 A1
B6 D8
A1 A3
D8 B6
A3 A2
B6 D8
A2 A1
D8 B6
A1 A3
B6 D8
A3 A2
D8 B6
A2 A1
B6 D8
A1 A3
D8 B6
A3 A2
B6 D8
A2 A1
D8 B6
A1 A3
B6 D8
A3 A2
D8 B6
A2 A1
B6 D8
A1 A3
D8 B6
A3 A2
B6 D8
A2 A1
D8 B6
A1 A3
B6 D8
A3 A2
D8 B6
A2 A1
B6 D8
A1 A3
D8 B6
A3 A2
B6 D8
A2 A1
D8 B6
A1 A3
B6 D8
A3 A2
D8 B6
A2 A1
B6 D8
F1 G2
B5 A4
G2 F1
F7 F5
B2 B4
B8 C6
A1 A3
G7 G6
F3 G5
H7 H6
G5 H7
E8 F7
H3 H4
D7 D6
A3 A4
F7 E6
B4 C5
D6 C5
D1 B3
E6 D7
A4 A5
H8 H7
F1 G2
C6 D4
B3 B5
D7 D6
G2 E4
D4 B5
E1 F1
F5 G4
H1 H2
H6 H5
H2 G2
B5 C7
A5 A3
A8 B8
A3 A8
C7 A8
E4 D5
B8 B3
G2 G1
D6 D5
E2 E4
D5 E6
F2 F4
G6 G5
F1 G2
G5 H4
G1 F1
D8 A5
G2 F2
E6 D6
F1 E1
D6 C7
F2 E2
A8 B6
C1 B2
A5 A1
E1 D1
G4 G3
D1 C1
B6 A4
C1 C2
A1 B1
E4 E5
E7 E6
C3 C4
B1 C2
F4 F5
C8 A6
F5 E6
A6 B5
E6 E7
F8 E7
C4 B5
C7 B8
B5 B6
C2 E4
E2 F1
E4 E5
B2 D4
E5 E2
F1 G1
E2 D3
B6 B7
H4 H3
D4 H8
D3 D2
H8 B2
D2 D8
G1 F1
H3 H2
F1 E1
H2 H1
P c H1
B2 D4
A4 B6
E1 E2
B8 C7
D4 A1
D8 D1
E2 D1
B3 B1
D1 D2
B6 C4
D2 D3
B1 A1
D3 E4
C7 D8
E4 F5
C4 B6
F5 G6
A1 E1
G6 H7
E1 E6
B7 B8
P c B8
E6 D6
B8 D7
D6 C6
D7 E5
C6 H6
H7 G8
E7 H4
G8 F7
B6 D5
E5 C4
H6 D6
C4 B2
D6 F6
F7 G8
F6 F1
B2 C4
D5 C7
C4 B6
H1 F2
B6 D7
C7 D5
D7 E5
F2 H3
E5 D7
D5 E7
G8 G7
D8 D7
G7 H8
E7 C8
H8 G7
D7 C7
G7 H8
C7 B7
H8 G7
B7 A7
G7 H8
H4 G5
H8 G7
C8 E7
G7 H8
E7 C8
H8 G7
C8 E7
G7 H8
E7 C8
H8 G7
C8 E7
G7 H8
E7 C8
H8 G7
C8 E7
G7 H8
E7 C8
H8 G7
C8 E7
G7 H8
E7 C8
H8 G7
C8 E7
G7 H8
E7 C8
H8 G7
C8 E7
G7 H8
E7 C8
H8 G7
C8 E7
G7 H8
E7 C8
H8 G7
C8 E7
G7 H8
E7 C8
H8 G7
C8 E7
G7 H8
E7 C8
H8 G7
C8 E7
G7 H8
E7 C8
H8 G7
C8 E7
G7 H8
E7 C8
H8 G7
C8 E7
G7 H8
E7 C8
H8 G7
C8 E7
G7 H8
E7 C8
H8 G7
C8 E7
G7 H8
E7 C8
H8 G7
C8 E7
G7 H8
E7 C8
H8 G7
C8 E7
G7 H8
E7 C8
H8 G7
C8 E7
G7 H8
E7 C8
H8 G7
C8 E7
G7 H8
E7 C8
H8 G7
C8 E7
G7 H8
E7 C8
H8 G7
C8 E7
G7 H8
E7 C8
H8 G7
C8 E7
G7 H8
E7 C8
H8 G7
C8 E7
G7 H8
E7 C8
H8 G7
C8 E7
G7 H8
E7 C8
H8 G7
C8 E7
G7 H8
E7 C8
H8 G7
C8 E7
G7 H8
E7 C8
H8 G7
C8 E7
G7 H8
