Garry KasparBOT
Michail BOTvinnik
B2 B4
D7 D5
G1 F3
C8 E6
C2 C4
E6 C8
D2 D4
C8 E6
C4 D5
E6 G4
D5 D6
E7 E6
D6 C7
G4 F5
D1 D3
F5 G4
D3 C2
G4 F5
A2 A3
D8 E7
F3 E5
E7 H4
B1 D2
G7 G6
H1 G1
G6 G5
G1 H1
F8 H6
H1 G1
B8 C6
D2 B3
E8 F8
C2 B1
H4 D4
E5 G4
F5 G4
E2 E4
G4 H3
C1 E3
D4 G7
E1 E2
G7 C3
E3 C1
C3 F6
E2 D3
F6 F5
C1 E3
F5 F6
B1 C1
F6 F5
D3 D2
F5 F6
D2 E1
F6 F5
F1 E2
F5 F6
B3 C5
F6 F5
C1 C2
C6 D8
C2 C1
F5 F3
E2 F1
G5 G4
C1 B1
H6 G7
B1 C1
A8 C8
C1 B1
H3 G2
B1 C1
G7 D4
C1 B1
F3 D1
E1 D1
D4 E5
C5 A4
G2 H3
E3 D2
H3 G2
B1 C2
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
D3 F1
F8 E8
F1 D3
E8 F8
END
