Magnus BOTsen
BOTty Fisher
B2 B3
D7 D6
H2 H4
B8 A6
H1 H2
C8 G4
H4 H5
G4 F3
E2 F3
D8 D7
A2 A4
D7 E6
D1 E2
E6 H6
D2 D4
E8 C8
A1 A2
E7 E5
A2 B2
C8 D7
E2 A6
H6 H5
A6 B5
D7 C8
C1 F4
H5 G4
E1 E2
E5 E4
B1 A3
D8 E8
A3 C4
A7 A6
G2 G3
G4 G6
F4 D2
G6 F5
G3 G4
A6 A5
G4 F5
F7 F6
B5 E5
C8 D8
E5 E8
D8 E8
H2 H1
G7 G5
C4 A5
G8 H6
C2 C4
H6 F5
C4 C5
F5 G3
F2 G3
B7 B5
H1 H7
B5 B4
G1 H3
D6 C5
B2 A2
H8 G8
F3 F4
G8 G6
H7 H5
E8 D7
F1 G2
G5 F4
E2 F2
C5 D4
G3 G4
G6 G7
H5 B5
G7 G6
B5 H5
G6 G7
H5 B5
G7 G6
B5 H5
G6 G7
H5 B5
G7 G6
B5 H5
G6 G7
H5 B5
G7 G6
B5 H5
G6 G7
H5 B5
G7 G6
B5 H5
G6 G7
H5 B5
G7 G6
B5 H5
G6 G7
H5 B5
G7 G6
B5 H5
G6 G7
H5 B5
G7 G6
B5 H5
G6 G7
H5 B5
G7 G6
B5 H5
G6 G7
H5 B5
G7 G6
B5 H5
G6 G7
H5 B5
G7 G6
B5 H5
G6 G7
H5 B5
G7 G6
B5 H5
G6 G7
H5 B5
G7 G6
B5 H5
G6 G7
H5 B5
G7 G6
B5 H5
G6 G7
H5 B5
G7 G6
B5 H5
G6 G7
H5 B5
G7 G6
B5 H5
G6 G7
H5 B5
G7 G6
B5 H5
G6 G7
H5 B5
G7 G6
B5 H5
G6 G7
H5 B5
G7 G6
B5 H5
G6 G7
H5 B5
G7 G6
B5 H5
G6 G7
H5 B5
G7 G6
B5 H5
G6 G7
H5 B5
G7 G6
B5 H5
G6 G7
H5 B5
G7 G6
B5 H5
G6 G7
H5 B5
G7 G6
B5 H5
G6 G7
H5 B5
G7 G6
B5 H5
G6 G7
H5 B5
G7 G6
B5 H5
G6 G7
H5 B5
G7 G6
B5 H5
G6 G7
H5 B5
G7 G6
B5 H5
G6 G7
H5 B5
G7 G6
B5 H5
G6 G7
H5 B5
G7 G6
B5 H5
G6 G7
H5 B5
G7 G6
B5 H5
G6 G7
H5 B5
G7 G6
B5 H5
G6 G7
H5 B5
G7 G6
B5 H5
G6 G7
H5 B5
G7 G6
B5 H5
G6 G7
H5 B5
G7 G6
B5 H5
G6 G7
H5 B5
G7 G6
B5 H5
G6 G7
H5 B5
G7 G6
B5 H5
G6 G7
H5 B5
G7 G6
B5 H5
G6 G7
H5 B5
G7 G6
B5 H5
G6 G7
H5 B5
G7 G6
B5 H5
G6 G7
H5 B5
F4 F3
G2 F1
D7 E6
B5 B6
C7 B6
F1 E2
G7 D7
F2 E1
E6 D5
E1 D1
D7 F7
D2 H6
B6 B5
A2 B2
D5 D6
D1 C1
D6 D7
C1 D1
D7 E6
D1 C1
E6 E5
C1 D1
F3 E2
B2 E2
E5 D5
E2 D2
F8 E7
H3 G5
E7 D6
D2 C2
F7 D7
C2 B2
D7 B7
B2 A2
D6 E7
G5 E4
B7 A7
H6 C1
E7 F8
D1 C2
D4 D3
C2 D2
F6 F5
G4 F5
D5 E4
D2 D1
E4 F5
A2 F2
F5 G4
A5 B7
F8 E7
C1 H6
E7 F8
H6 E3
F8 E7
E3 D4
E7 F8
D1 E1
F8 E7
F2 F6
E7 F8
F6 B6
F8 E7
B6 A6
E7 F8
D4 A7
D3 D2
E1 F1
D2 D1
P a D1
A4 A5
D1 E2
F1 G1
G4 F3
A6 E6
F3 F4
E6 E3
E2 F1
E3 D3
F1 G2
G1 H2
G2 F1
D3 D7
F1 G2
D7 D2
