Michail BOTvinnik
Garry KasparBOT
F2 F3
H7 H6
D2 D3
F7 F6
E2 E4
B7 B6
F1 E2
G7 G6
B1 D2
G6 G5
H2 H3
G5 G4
H3 H4
B8 A6
E4 E5
H6 H5
D2 C4
A6 B8
A2 A4
H8 H7
A1 A3
B6 B5
H1 H2
F8 H6
H2 H3
H6 G7
H3 H2
G7 F8
H2 H3
B5 B4
H3 H1
F8 H6
H1 H3
B8 C6
H3 H1
C6 D4
D1 D2
C7 C6
H1 H2
B4 B3
H2 H3
D7 D5
A3 A1
H6 E3
E1 D1
E3 D2
A1 A3
E8 D7
E5 E6
D7 C7
C4 D2
D8 F8
F3 G4
F8 H6
D2 E4
F6 F5
E2 F3
H6 G5
G4 F5
C8 D7
F3 G4
D4 C2
C1 E3
C2 D4
A3 A1
G8 H6
E3 D4
G5 F4
D4 A7
C7 D8
A7 B8
D7 E8
A1 C1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
E2 G1
E8 D7
G1 E2
D7 E8
END
